Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,65.481873,65.481873,63.454197,64.527672,27.068491,6265782
2000-01-04,63.931297,64.706581,61.784351,62.261452,26.117847,7894689
2000-01-05,62.082539,65.720421,62.082539,64.706581,27.143541,7963018
2000-01-06,64.706581,66.018608,64.587311,65.243324,27.368704,4989004
2000-01-07,66.614983,71.803436,66.436066,71.505249,29.995464,10871218
2000-01-10,71.326340,71.385971,68.821564,69.417938,29.119888,6001686
2000-01-11,68.761925,70.312500,68.105919,69.656487,29.219957,5264418
2000-01-12,70.252861,71.743797,70.073952,71.028152,29.795351,5229939
2000-01-13,71.385971,72.638359,70.431778,71.326340,29.920441,5610468
2000-01-14,71.803436,72.459450,69.358299,70.729965,29.670265,5806130
2000-01-18,69.775764,70.193222,67.330627,67.569176,28.344358,5554086
2000-01-19,68.463737,69.358299,67.986641,68.225189,28.619553,4990157
2000-01-20,68.642654,69.835403,68.165550,69.596848,29.194950,5225642
2000-01-21,71.087784,71.087784,68.284828,69.119751,28.994806,8309487
2000-01-24,69.656487,69.656487,65.899330,67.032440,28.119204,5438177
2000-01-25,67.867363,68.702293,67.390266,67.628815,28.369370,5707513
2000-01-26,67.748093,69.656487,67.390266,69.477577,29.144907,5614660
2000-01-27,69.775764,71.982346,69.656487,70.729965,29.670265,8119066
2000-01-28,72.041985,74.844940,71.803436,72.876907,30.570875,10294504
2000-01-31,72.220894,75.381676,71.147423,75.023857,31.471500,8390602
2000-02-01,73.831108,74.367844,72.041985,73.294373,30.745998,5267667
2000-02-02,73.771469,74.785301,72.459450,73.354012,30.771017,4865550
2000-02-03,72.817268,73.175095,71.922707,72.757637,30.520847,4059952
2000-02-04,73.354012,73.354012,71.505249,71.624519,30.045525,4466681
2000-02-07,70.849236,71.982346,70.372139,71.803436,30.120575,4370370
2000-02-08,72.041985,72.399811,71.624519,71.982346,30.195623,4128282
2000-02-09,70.729965,70.789597,67.628815,68.105919,28.569515,7259810
2000-02-10,66.793892,67.032440,64.885498,65.839699,27.618876,7356436
2000-02-11,64.527672,65.004768,61.366890,62.261452,26.117847,9655643
2000-02-14,62.500000,63.394562,61.068703,63.036736,26.443069,9361889
2000-02-15,62.738548,63.573475,62.142178,62.619274,26.267939,6683201
2000-02-16,62.500000,64.110207,62.261452,62.500000,26.217907,5383995
2000-02-17,63.334923,63.633110,60.233780,60.353054,25.317293,7269871
2000-02-18,60.531967,61.426525,58.742844,59.160305,24.816950,6934721
2000-02-22,59.637405,62.500000,58.981392,62.500000,26.217907,9640971
2000-02-23,62.977100,62.977100,60.233780,60.233780,25.267256,8099468
2000-02-24,60.412689,60.412689,57.907921,59.160305,24.816950,9502006
2000-02-25,58.265743,58.683205,56.476624,57.430820,24.091454,8070962
2000-02-28,57.430820,59.100670,57.251907,58.742844,24.641832,8895634
2000-02-29,59.577766,60.233780,58.563931,58.742844,24.641832,8243778
2000-03-01,58.683205,58.921757,57.013359,57.251907,24.130077,7289574
2000-03-02,57.311546,57.967556,56.536259,56.536259,23.828440,6167061
2000-03-03,57.311546,57.371181,54.448952,54.866413,23.124651,10706892
2000-03-06,54.806774,55.104961,53.673664,53.912212,22.722479,9103138
2000-03-07,53.435116,53.435116,49.618320,51.467079,21.691931,13544142
2000-03-08,51.467079,54.806774,51.467079,54.210400,22.848160,12569712
2000-03-09,55.820610,58.802483,55.045322,58.325382,24.582516,12869650
2000-03-10,58.921757,59.041031,56.297710,56.834446,23.954111,8712967
2000-03-13,53.792938,55.045322,53.554390,54.389313,22.923569,9302991
2000-03-14,53.315842,54.150764,52.838741,53.912212,22.722479,7484082
2000-03-15,53.673664,57.251907,53.494751,57.072994,24.054665,9626509
2000-03-16,57.669369,62.678913,57.430820,62.022900,26.140903,15846598
2000-03-17,61.963264,62.022900,59.816319,59.875954,25.236034,8924139
2000-03-20,58.802483,59.339218,57.550095,58.802483,24.783598,6412398
2000-03-21,58.802483,61.068703,58.742844,61.009064,25.713608,5390283
2000-03-22,60.174141,61.963264,60.114506,61.486164,25.914688,5527362
2000-03-23,60.651241,61.784351,59.697041,59.995228,25.286297,5059849
2000-03-24,59.995228,60.114506,57.609734,58.921757,24.833862,7016989
2000-03-27,58.086830,58.742844,57.132633,58.325382,24.582516,5846268
2000-03-28,57.013359,59.637405,57.013359,58.742844,24.758459,7956416
2000-03-29,60.054867,62.022900,59.637405,61.068703,25.738741,7385466
2000-03-30,61.068703,62.917461,60.889790,61.128342,25.763884,6606173
2000-03-31,60.889790,61.963264,59.279579,59.279579,24.984684,5934405
2000-04-03,59.518131,63.931297,59.518131,63.692749,26.844709,8014266
2000-04-04,65.183685,66.555344,62.261452,64.587311,27.221727,12605134
2000-04-05,64.825859,65.362595,63.871658,65.124046,27.447971,6547485
2000-04-06,63.931297,63.990936,61.665077,62.559635,26.367125,6526944
2000-04-07,62.380726,63.633110,62.022900,62.500000,26.341993,3481875
2000-04-10,62.082539,65.124046,62.082539,63.334923,26.693888,4936918
2000-04-11,63.394562,64.885498,63.334923,64.229485,27.070927,5979783
2000-04-12,64.468033,64.646950,61.903625,61.903625,26.090654,6120425
2000-04-13,62.380726,63.931297,62.142178,62.798187,26.467663,5105542
2000-04-14,61.963264,62.619274,59.697041,60.651241,25.562799,6451069
2000-04-17,60.830154,61.784351,59.041031,61.486164,25.914688,6561633
2000-04-18,61.307251,63.334923,61.068703,63.215649,26.643620,4821534
2000-04-19,62.977100,66.555344,62.559635,65.839699,27.749596,8569182
2000-04-20,65.839699,67.032440,65.780060,66.555344,28.051212,6856016
2000-04-24,66.674622,68.881203,66.555344,68.642654,28.930958,7771758
2000-04-25,68.642654,69.477577,66.674622,69.179390,29.157173,7010177
2000-04-26,68.702293,68.881203,67.032440,68.642654,28.930958,4841131
2000-04-27,67.986641,69.298660,67.569176,68.225189,28.755007,5916274
2000-04-28,66.436066,67.092079,64.468033,66.316795,27.950657,8456312
2000-05-01,66.316795,66.376434,64.468033,64.468033,27.171476,5406632
2000-05-02,63.990936,66.853531,63.871658,66.078247,27.850117,4705730
2000-05-03,65.839699,66.674622,64.885498,65.183685,27.473095,4195982
2000-05-04,65.422234,65.481873,63.931297,64.110207,27.020645,3570012
